BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
0;SANTA BARBARA (02339M);11;RADA O RIA, FRESQUERO;0,00;0,0;02339M
0;BENIAMINO I;11;RADA O RIA, FRESQUERO;0,00;0,0;02666M
0;HUAFENG 819;31;ALTURA, FRESQUERO;23,82;652,3;6032
2075;NATALIA;32;ALTURA,PROC.CONGELADOR;68,45;1778,5;02066
2217;PESCARGEN IV;32;ALTURA,PROC.CONGELADOR;63,20;1602,7;6223
0;FABIAN K;11;RADA O RIA, FRESQUERO;0,00;0,0;02244
0;SAN MATEO.;21;COSTEROS, FRESQUERO;9,80;180,0;1962
2495;SOLE MIO;11;RADA O RIA, FRESQUERO;12,95;281,9;6226
1038;ALDEBARAN;31;ALTURA, FRESQUERO;26,42;425,5;4716
1447;DON MIGUEL;11;RADA O RIA, FRESQUERO;20,09;320,0;4563
0;ESKUBYDU;11;RADA O RIA, FRESQUERO;0,00;0,0;03024
1218;BORRASCA;32;ALTURA,PROC.CONGELADOR;39,16;1083,2;5241
1165;ARRUFO;32;ALTURA,PROC.CONGELADOR;39,16;1102,0;5239
2186;PAKU;32;ALTURA,PROC.CONGELADOR;39,16;1087,2;5211
2743;BOGAVANTE SEGUNDO;32;ALTURA,PROC.CONGELADOR;37,45;867,1;02994
2744;MINCHOS OCTAVO;32;ALTURA,PROC.CONGELADOR;39,30;578,5;03022
0;PEDRITO;31;ALTURA, FRESQUERO;39,92;1201,3;6060
2566;TOZUDO;31;ALTURA, FRESQUERO;26,74;624,2;6040
2674;XIN SHI JI N░ 99;32;ALTURA,PROC.CONGELADOR;65,10;2173,2;02181
0;XIN SHI JI 26;32;ALTURA,PROC.CONGELADOR;70,50;0,0;03144
1653;GOLFO SAN MATIAS;31;ALTURA, FRESQUERO;24,46;503,4;5353
1086;ANGELO PADRE;11;RADA O RIA, FRESQUERO;15,30;330,2;4506
2133;NUEVO SIEMPRE GAUCHO;11;RADA O RIA, FRESQUERO;16,85;350,3;4582
2750;MARIA ALEJANDRA 1║;32;ALTURA,PROC.CONGELADOR;39,20;0,0;03074
2756;JOS╔ AM╔RICO;32;ALTURA,PROC.CONGELADOR;44,21;0,0;03071
2771;RASMUS EFFERSOE;32;ALTURA,PROC.CONGELADOR;39,78;2214,8;02703
1119;ARBUMASA XVI;32;ALTURA,PROC.CONGELADOR;36,40;1047,0;6366
1121;ARBUMASA XVIII;32;ALTURA,PROC.CONGELADOR;36,40;869,8;6452
2740;ARGENOVA XXV;32;ALTURA,PROC.CONGELADOR;39,70;859,1;02811
